-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0    110                                                               
  993.0    178   19.0   17.0     88  12.42    160      9  292.7  328.2  294.9
  988.0    221   18.8   16.6     87  12.17    164     11  293.0  327.8  295.1
  959.0    474   17.0   16.6     97  12.54    187     23  293.6  329.6  295.9
  943.7    610   17.1   16.8     98  12.94    200     29  295.1  332.4  297.4
  926.0    770   17.2   17.1     99  13.43    205     35  296.8  335.8  299.2
  925.0    779   17.2   17.1     99  13.44    205     35  296.9  335.9  299.3
  916.0    863   16.6   16.5     99  13.06    205     37  297.1  335.1  299.4
  910.5    914   16.2   15.0     93  11.89    205     38  297.2  331.8  299.3
  906.0    956   15.8   13.7     87  10.99    206     38  297.2  329.3  299.2
  878.4   1219   14.9   12.2     84  10.26    210     35  298.9  329.2  300.8
  850.0   1498   14.0   10.6     80   9.53    215     37  300.8  329.1  302.5
  845.0   1548   14.0   10.4     79   9.45    215     37  301.3  329.5  303.0
  817.2   1829   12.3    7.6     73   8.06    215     36  302.4  326.7  303.9
  788.0   2134   10.5    4.5     67   6.75    225     36  303.6  324.1  304.8
  787.0   2145   10.4    4.4     66   6.71    225     36  303.6  324.1  304.9
  781.0   2208   10.4    0.4     50   5.07    226     37  304.3  320.0  305.2
  778.0   2240   10.0    2.0     58   5.71    227     37  304.2  321.8  305.2
  773.0   2294    9.8   -0.2     50   4.90    228     38  304.6  319.8  305.4
  765.0   2380    9.2    0.2     53   5.10    229     38  304.8  320.6  305.8
  762.0   2413    9.2   -2.8     43   4.10    230     39  305.1  318.0  305.9
  759.7   2438    9.1   -3.8     40   3.83    230     39  305.3  317.4  306.0
  744.0   2610    8.6  -10.4     25   2.34    236     36  306.6  314.2  307.0
  742.0   2633    8.6   -9.4     27   2.54    236     35  306.8  315.1  307.3
  737.0   2689    9.2  -26.8      6   0.58    238     34  308.1  310.1  308.2
  734.0   2722    9.6  -20.4     10   1.03    239     33  308.9  312.4  309.1
  732.2   2743    9.6  -20.0     11   1.08    240     33  309.0  312.7  309.2
  719.0   2893    9.2  -16.8     14   1.44    247     33  310.3  315.1  310.5
  705.6   3048    7.9   -8.6     30   2.84    255     32  310.4  319.8  311.0
  705.0   3055    7.8   -8.2     31   2.94    255     32  310.5  320.0  311.0
  700.0   3114    7.2   -8.8     31   2.82    255     32  310.4  319.6  311.0
  680.0   3351    4.8   -7.2     41   3.29    251     35  310.3  321.0  310.9
  679.0   3363    4.6   -6.4     45   3.51    250     35  310.2  321.6  310.9
  677.0   3387    4.4   -0.5     70   5.48    250     36  310.3  327.6  311.3
  675.0   3411    4.2    2.2     87   6.69    250     36  310.3  331.2  311.6
  674.0   3423    4.0    1.9     86   6.56    249     36  310.2  330.8  311.4
  672.0   3447    4.0    0.3     77   5.85    249     36  310.5  328.9  311.6
  657.0   3631    3.0   -4.0     60   4.35    246     39  311.4  325.3  312.2
  654.8   3658    3.0  -12.1     32   2.32    245     39  311.7  319.4  312.1
  654.0   3668    3.0  -15.0     25   1.83    245     39  311.8  317.9  312.1
  652.0   3692    3.2  -17.8     20   1.45    244     39  312.3  317.2  312.6
  645.0   3780    3.0  -15.0     25   1.86    243     39  313.0  319.3  313.4
  640.0   3843    2.4  -11.6     35   2.47    242     38  313.0  321.2  313.5
  628.0   3995    1.0  -12.0     37   2.44    239     38  313.1  321.2  313.6
  626.0   4021    0.8  -10.2     44   2.83    239     38  313.2  322.5  313.7
  619.0   4111    0.4  -14.6     31   2.00    238     38  313.7  320.5  314.1
  616.0   4150    0.0  -13.0     37   2.29    237     37  313.7  321.4  314.1
  607.0   4267   -0.8  -15.5     32   1.90    235     37  314.1  320.5  314.4
  594.0   4439   -2.1  -19.1     26   1.43    232     39  314.5  319.5  314.8
  579.0   4642   -2.5  -30.5     10   0.52    229     42  316.4  318.3  316.5
  570.0   4766   -1.9  -46.9      2   0.10    227     44  318.5  318.9  318.5
  562.0   4877   -2.8  -48.0      2   0.09    225     45  318.8  319.1  318.8
  500.0   5790  -10.1  -57.1      1   0.03    240     45  320.7  320.8  320.7
  499.9   5791  -10.1  -57.1      1   0.03    245     45  320.7  320.8  320.7
  480.2   6096  -12.6  -58.2      1   0.03    240     48  321.3  321.5  321.4
  443.1   6706  -17.5  -60.5      1   0.03    235     47  322.6  322.7  322.6
  430.0   6934  -19.3  -61.3      1   0.02    235     50  323.1  323.2  323.1
  414.0   7216  -21.1  -55.1      3   0.05    235     54  324.3  324.5  324.3
  408.0   7324  -21.7  -42.7     13   0.22    235     56  324.9  325.7  324.9
  400.0   7470  -22.5  -44.5     12   0.18    235     58  325.7  326.4  325.7
  391.8   7620  -23.6  -45.1     12   0.17    235     61  326.2  326.9  326.2
  360.0   8230  -28.0  -47.6     14   0.14    240     72  328.2  328.8  328.2
  350.0   8434  -29.5  -48.5     14   0.13    239     72  328.9  329.4  328.9
  316.2   9144  -35.8  -52.7     16   0.09    235     71  329.8  330.1  329.8
  304.0   9419  -38.3  -54.3     17   0.08    239     72  330.0  330.4  330.0
  300.0   9510  -38.7  -53.7     19   0.09    240     72  330.7  331.1  330.7
  278.0  10029  -42.5  -56.5     20   0.07    242     75  332.5  332.8  332.5
  256.0  10582  -45.3  -58.3     22   0.06    244     79  336.3  336.6  336.3
  250.0  10740  -46.9  -59.9     21   0.05    245     80  336.2  336.4  336.2
  226.0  11400  -52.7  -64.7     22   0.03    248     89  337.2  337.3  337.2
  215.0  11720  -54.7  -66.7     21   0.02    249     93  338.9  339.0  338.9
  211.0  11840  -54.7  -66.7     21   0.02    250     95  340.7  340.8  340.7
  210.0  11870  -55.0  -67.0     21   0.02    250     95  340.8  340.9  340.8
  209.4  11887  -55.1  -67.1     21   0.02    250     95  340.8  340.9  340.8
  202.0  12117  -57.3  -69.3     20   0.02    250     90  340.9  341.0  340.9
  200.0  12180  -57.5  -69.5     20   0.02    250     89  341.6  341.6  341.6
  187.0  12602  -59.7  -70.7     23   0.01    250     83  344.6  344.7  344.6
  181.1  12802  -59.3  -71.3     20   0.01    250     80  348.4  348.5  348.4
  181.0  12806  -59.3  -71.3     20   0.01    250     80  348.5  348.6  348.5
  167.0  13306  -62.9  -73.9     21   0.01    250     87  350.6  350.7  350.6
  164.2  13411  -62.2  -73.2     22   0.01    250     89  353.5  353.5  353.5
  163.0  13456  -61.9  -72.9     22   0.01    251     87  354.7  354.8  354.7
  152.0  13888  -62.1  -73.1     22   0.01    263     69  361.5  361.6  361.5
  150.0  13970  -62.7  -73.7     21   0.01    265     66  361.9  361.9  361.9
  148.8  14021  -62.9  -73.9     21   0.01    260     65  362.3  362.4  362.3
  141.6  14326  -64.4  -75.4     21   0.01    245     50  365.0  365.0  365.0
  140.0  14394  -64.7  -75.7     21   0.01    244     51  365.6  365.6  365.6
  136.0  14572  -64.3  -75.3     21   0.01    243     55  369.3  369.4  369.3
  129.0  14894  -66.9  -77.9     20   0.01    240     61  370.3  370.3  370.3
  128.1  14935  -67.0  -78.0     20   0.01    240     62  370.8  370.8  370.8
  124.0  15133  -67.5  -78.5     20   0.01    240     59  373.4  373.4  373.4
  121.8  15240  -66.9  -77.9     20   0.01    240     58  376.3  376.4  376.3
  121.0  15282  -66.7  -77.7     20   0.01    240     58  377.5  377.5  377.5
  115.0  15589  -68.1  -79.1     19   0.01    237     56  380.4  380.4  380.4
  113.0  15695  -67.3  -78.3     20   0.01    236     55  383.8  383.8  383.8
  110.0  15857  -67.9  -78.9     19   0.01    235     54  385.6  385.7  385.6
  108.0  15968  -67.5  -78.5     20   0.01    234     54  388.4  388.5  388.4
  100.0  16430  -70.1  -81.1     19   0.01    230     51  392.0  392.1  392.0
   85.2  17374  -70.8  -81.8     18   0.01    260     45  408.9  408.9  408.9
   83.6  17489  -70.9  -81.9     18   0.01    256     37  411.0  411.0  411.0
   82.1  17597  -67.5  -78.5     20   0.01    253     29  420.1  420.1  420.1
   81.0  17678  -66.6  -77.6     20   0.01    250     23  423.5  423.6  423.5
   80.6  17707  -66.3  -77.3     20   0.01    244     22  424.8  424.8  424.8
   77.0  17983  -67.6  -78.6     20   0.01    190     17  427.7  427.7  427.7
   73.1  18288  -69.1  -80.1     19   0.01    215     24  430.9  430.9  430.9
   70.0  18550  -70.3  -81.3     19   0.01    230     21  433.7  433.7  433.7
